precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6306,0.6306,0.6306,0.6306,0.6306,token_506_50,wb_token_506_50,1,506,50,token
0.5203,0.7477,0.5961,0.7477,0.6892,token_506_50,wb_token_506_50,2,506,50,token
0.4474,0.8063,0.5532,0.8063,0.7087,token_506_50,wb_token_506_50,3,506,50,token
0.3405,0.8559,0.4672,0.8559,0.7202,token_506_50,wb_token_506_50,5,506,50,token
0.2099,0.9054,0.3296,0.9054,0.7269,token_506_50,wb_token_506_50,10,506,50,token
0.6667,0.6667,0.6667,0.6667,0.6667,token_506_75,wb_token_506_75,1,506,75,token
0.5586,0.7928,0.6367,0.7928,0.7297,token_506_75,wb_token_506_75,2,506,75,token
0.467,0.8649,0.582,0.8649,0.7538,token_506_75,wb_token_506_75,3,506,75,token
0.3495,0.9189,0.4828,0.9189,0.7664,token_506_75,wb_token_506_75,5,506,75,token
0.2239,0.9414,0.3484,0.9414,0.7698,token_506_75,wb_token_506_75,10,506,75,token
0.6712,0.6712,0.6712,0.6712,0.6712,token_506_100,wb_token_506_100,1,506,100,token
0.5405,0.7928,0.6246,0.7928,0.732,token_506_100,wb_token_506_100,2,506,100,token
0.461,0.8514,0.573,0.8514,0.7515,token_506_100,wb_token_506_100,3,506,100,token
0.3595,0.9009,0.4905,0.9009,0.7632,token_506_100,wb_token_506_100,5,506,100,token
0.2365,0.9505,0.3646,0.9505,0.7704,token_506_100,wb_token_506_100,10,506,100,token
0.6261,0.6261,0.6261,0.6261,0.6261,token_506_125,wb_token_506_125,1,506,125,token
0.5248,0.7387,0.5961,0.7387,0.6824,token_506_125,wb_token_506_125,2,506,125,token
0.458,0.8153,0.5617,0.8153,0.708,token_506_125,wb_token_506_125,3,506,125,token
0.3505,0.8604,0.4754,0.8604,0.7185,token_506_125,wb_token_506_125,5,506,125,token
0.2392,0.9279,0.3661,0.9279,0.7279,token_506_125,wb_token_506_125,10,506,125,token
0.6577,0.6577,0.6577,0.6577,0.6577,token_506_150,wb_token_506_150,1,506,150,token
