precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6622,0.6622,0.6622,0.6622,0.6622,hier_large,wb_hier_large,1,500,200,hierarchical
0.6104,0.7703,0.6637,0.7703,0.7162,hier_large,wb_hier_large,2,500,200,hierarchical
0.5706,0.8333,0.6482,0.8333,0.7372,hier_large,wb_hier_large,3,500,200,hierarchical
0.4784,0.8829,0.5893,0.8829,0.7487,hier_large,wb_hier_large,5,500,200,hierarchical
0.3441,0.9279,0.4766,0.9279,0.7552,hier_large,wb_hier_large,10,500,200,hierarchical
0.7117,0.7117,0.7117,0.7117,0.7117,hier_medium,wb_hier_medium,1,500,200,hierarchical
0.6689,0.8378,0.7252,0.8378,0.7748,hier_medium,wb_hier_medium,2,500,200,hierarchical
0.6396,0.9009,0.7189,0.9009,0.7958,hier_medium,wb_hier_medium,3,500,200,hierarchical
0.5459,0.9324,0.6557,0.9324,0.8032,hier_medium,wb_hier_medium,5,500,200,hierarchical
0.4041,0.955,0.5384,0.955,0.8065,hier_medium,wb_hier_medium,10,500,200,hierarchical
0.7658,0.7658,0.7658,0.7658,0.7658,hier_small,wb_hier_small,1,500,200,hierarchical
0.7207,0.8784,0.7733,0.8784,0.8221,hier_small,wb_hier_small,2,500,200,hierarchical
0.6712,0.9144,0.7486,0.9144,0.8341,hier_small,wb_hier_small,3,500,200,hierarchical
0.5703,0.9414,0.681,0.9414,0.8406,hier_small,wb_hier_small,5,500,200,hierarchical
0.4401,0.9595,0.5751,0.9595,0.843,hier_small,wb_hier_small,10,500,200,hierarchical
0.7432,0.7432,0.7432,0.7432,0.7432,hier_base,wb_hier_base,1,500,200,hierarchical
0.6712,0.8423,0.7282,0.8423,0.7928,hier_base,wb_hier_base,2,500,200,hierarchical
0.6201,0.9054,0.705,0.9054,0.8138,hier_base,wb_hier_base,3,500,200,hierarchical
0.5387,0.955,0.6555,0.955,0.8248,hier_base,wb_hier_base,5,500,200,hierarchical
0.409,0.982,0.5444,0.982,0.8281,hier_base,wb_hier_base,10,500,200,hierarchical
