precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.7117,0.7117,0.7117,0.7117,0.7117,hier_medium,wb_hier_medium,1,500,200,hierarchical
0.6667,0.8333,0.7222,0.8333,0.7725,hier_medium,wb_hier_medium,2,500,200,hierarchical
0.6411,0.9009,0.7203,0.9009,0.795,hier_medium,wb_hier_medium,3,500,200,hierarchical
0.5459,0.9324,0.6557,0.9324,0.8022,hier_medium,wb_hier_medium,5,500,200,hierarchical
0.4036,0.955,0.5382,0.955,0.8055,hier_medium,wb_hier_medium,10,500,200,hierarchical
0.7703,0.7703,0.7703,0.7703,0.7703,hier_small,wb_hier_small,1,500,200,hierarchical
0.723,0.8784,0.7748,0.8784,0.8243,hier_small,wb_hier_small,2,500,200,hierarchical
0.6667,0.9144,0.7455,0.9144,0.8363,hier_small,wb_hier_small,3,500,200,hierarchical
0.5712,0.9414,0.6817,0.9414,0.8429,hier_small,wb_hier_small,5,500,200,hierarchical
0.4396,0.955,0.574,0.955,0.8448,hier_small,wb_hier_small,10,500,200,hierarchical
0.7162,0.7162,0.7162,0.7162,0.7162,hier_very_small,wb_hier_very_small,1,500,200,hierarchical
0.7027,0.8378,0.7478,0.8378,0.777,hier_very_small,wb_hier_very_small,2,500,200,hierarchical
0.6622,0.8829,0.7311,0.8829,0.792,hier_very_small,wb_hier_very_small,3,500,200,hierarchical
0.564,0.9189,0.6689,0.9189,0.8006,hier_very_small,wb_hier_very_small,5,500,200,hierarchical
0.441,0.9414,0.571,0.9414,0.8037,hier_very_small,wb_hier_very_small,10,500,200,hierarchical
0.7252,0.7252,0.7252,0.7252,0.7252,hier_not_very_small,wb_hier_not_very_small,1,500,200,hierarchical
0.6644,0.8018,0.7102,0.8018,0.7635,hier_not_very_small,wb_hier_not_very_small,2,500,200,hierarchical
0.6246,0.8514,0.6941,0.8514,0.78,hier_not_very_small,wb_hier_not_very_small,3,500,200,hierarchical
0.5604,0.9234,0.6615,0.9234,0.7969,hier_not_very_small,wb_hier_not_very_small,5,500,200,hierarchical
0.423,0.955,0.552,0.955,0.8013,hier_not_very_small,wb_hier_not_very_small,10,500,200,hierarchical
