precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6847,0.6847,0.6847,0.6847,0.6847,token_506_175,wb_token_506_175,1,506,175,token
0.5991,0.8198,0.6727,0.8198,0.7523,token_506_175,wb_token_506_175,2,506,175,token
0.5315,0.8829,0.6378,0.8829,0.7733,token_506_175,wb_token_506_175,3,506,175,token
0.4126,0.9099,0.5398,0.9099,0.7794,token_506_175,wb_token_506_175,5,506,175,token
0.2716,0.9459,0.4044,0.9459,0.7836,token_506_175,wb_token_506_175,10,506,175,token
0.6622,0.6622,0.6622,0.6622,0.6622,sentence_506_175,wb_sentence_506_175,1,506,175,sentence
0.5676,0.8243,0.6532,0.8243,0.7432,sentence_506_175,wb_sentence_506_175,2,506,175,sentence
0.485,0.8784,0.5986,0.8784,0.7613,sentence_506_175,wb_sentence_506_175,3,506,175,sentence
0.3694,0.9144,0.4991,0.9144,0.7691,sentence_506_175,wb_sentence_506_175,5,506,175,sentence
0.2378,0.9459,0.3674,0.9459,0.773,sentence_506_175,wb_sentence_506_175,10,506,175,sentence
0.536,0.536,0.536,0.536,0.536,semantic_50,wb_semantic_50,1,500,200,semantic
0.3896,0.6757,0.485,0.6757,0.6059,semantic_50,wb_semantic_50,2,500,200,semantic
0.3243,0.7658,0.4446,0.7658,0.6359,semantic_50,wb_semantic_50,3,500,200,semantic
0.2342,0.8333,0.3552,0.8333,0.6514,semantic_50,wb_semantic_50,5,500,200,semantic
0.1392,0.9054,0.2355,0.9054,0.6614,semantic_50,wb_semantic_50,10,500,200,semantic
0.5856,0.5856,0.5856,0.5856,0.5856,semantic_75,wb_semantic_75,1,500,200,semantic
0.4167,0.7252,0.5195,0.7252,0.6554,semantic_75,wb_semantic_75,2,500,200,semantic
0.3333,0.7883,0.4572,0.7883,0.6764,semantic_75,wb_semantic_75,3,500,200,semantic
0.2477,0.8559,0.3738,0.8559,0.692,semantic_75,wb_semantic_75,5,500,200,semantic
0.1667,0.9234,0.2747,0.9234,0.7016,semantic_75,wb_semantic_75,10,500,200,semantic
0.7342,0.7342,0.7342,0.7342,0.7342,hierar,wb_hierar,1,500,200,hierarchical
0.6734,0.8468,0.7312,0.8468,0.7905,hierar,wb_hierar,2,500,200,hierarchical
0.6156,0.8874,0.6973,0.8874,0.8041,hierar,wb_hierar,3,500,200,hierarchical
0.545,0.9505,0.6603,0.9505,0.8191,hierar,wb_hierar,5,500,200,hierarchical
0.405,0.973,0.5412,0.973,0.8219,hierar,wb_hierar,10,500,200,hierarchical
