precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6441,0.6441,0.6441,0.6441,0.6441,token_150_75,wb_token_150_75,1,150,75,token
0.5631,0.7432,0.6231,0.7432,0.6937,token_150_75,wb_token_150_75,2,150,75,token
0.5015,0.7793,0.5865,0.7793,0.7057,token_150_75,wb_token_150_75,3,150,75,token
0.4279,0.8559,0.5404,0.8559,0.7235,token_150_75,wb_token_150_75,5,150,75,token
0.3324,0.9279,0.4645,0.9279,0.7338,token_150_75,wb_token_150_75,10,150,75,token
0.6036,0.6036,0.6036,0.6036,0.6036,token_328_75,wb_token_328_75,1,328,75,token
0.5248,0.7207,0.5901,0.7207,0.6622,token_328_75,wb_token_328_75,2,328,75,token
0.455,0.7838,0.5527,0.7838,0.6832,token_328_75,wb_token_328_75,3,328,75,token
0.3847,0.8559,0.5066,0.8559,0.6998,token_328_75,wb_token_328_75,5,328,75,token
0.2662,0.9054,0.3927,0.9054,0.7068,token_328_75,wb_token_328_75,10,328,75,token
0.6667,0.6667,0.6667,0.6667,0.6667,token_506_75,wb_token_506_75,1,506,75,token
0.5586,0.7928,0.6367,0.7928,0.7297,token_506_75,wb_token_506_75,2,506,75,token
0.4625,0.8604,0.5775,0.8604,0.7523,token_506_75,wb_token_506_75,3,506,75,token
0.3486,0.9189,0.482,0.9189,0.7658,token_506_75,wb_token_506_75,5,506,75,token
0.2234,0.9414,0.3478,0.9414,0.7692,token_506_75,wb_token_506_75,10,506,75,token
0.6396,0.6396,0.6396,0.6396,0.6396,token_684_75,wb_token_684_75,1,684,75,token
0.5023,0.7523,0.5856,0.7523,0.6959,token_684_75,wb_token_684_75,2,684,75,token
0.4264,0.8063,0.5369,0.8063,0.714,token_684_75,wb_token_684_75,3,684,75,token
0.3234,0.8559,0.4519,0.8559,0.7254,token_684_75,wb_token_684_75,5,684,75,token
0.2018,0.9189,0.3222,0.9189,0.7346,token_684_75,wb_token_684_75,10,684,75,token
0.6171,0.6171,0.6171,0.6171,0.6171,token_862_75,wb_token_862_75,1,862,75,token
0.4797,0.7523,0.5706,0.7523,0.6847,token_862_75,wb_token_862_75,2,862,75,token
0.4024,0.8333,0.5252,0.8333,0.7117,token_862_75,wb_token_862_75,3,862,75,token
0.3045,0.8874,0.4356,0.8874,0.7234,token_862_75,wb_token_862_75,5,862,75,token
0.1865,0.9369,0.3034,0.9369,0.7306,token_862_75,wb_token_862_75,10,862,75,token
0.6081,0.6081,0.6081,0.6081,0.6081,token_1040_75,wb_token_1040_75,1,1040,75,token
0.4595,0.7523,0.5571,0.7523,0.6802,token_1040_75,wb_token_1040_75,2,1040,75,token
0.3709,0.7928,0.4901,0.7928,0.6937,token_1040_75,wb_token_1040_75,3,1040,75,token
0.2721,0.8468,0.3997,0.8468,0.7065,token_1040_75,wb_token_1040_75,5,1040,75,token
0.168,0.9099,0.2779,0.9099,0.7152,token_1040_75,wb_token_1040_75,10,1040,75,token
0.5676,0.5676,0.5676,0.5676,0.5676,token_1218_75,wb_token_1218_75,1,1218,75,token
0.4302,0.7207,0.527,0.7207,0.6441,token_1218_75,wb_token_1218_75,2,1218,75,token
0.3468,0.7748,0.464,0.7748,0.6622,token_1218_75,wb_token_1218_75,3,1218,75,token
0.2514,0.8423,0.3757,0.8423,0.6779,token_1218_75,wb_token_1218_75,5,1218,75,token
0.1586,0.9189,0.2648,0.9189,0.6882,token_1218_75,wb_token_1218_75,10,1218,75,token
0.5541,0.5541,0.5541,0.5541,0.5541,token_1396_75,wb_token_1396_75,1,1396,75,token
0.4099,0.6757,0.4985,0.6757,0.6149,token_1396_75,wb_token_1396_75,2,1396,75,token
0.3168,0.7387,0.4324,0.7387,0.6359,token_1396_75,wb_token_1396_75,3,1396,75,token
0.2441,0.8288,0.3674,0.8288,0.6568,token_1396_75,wb_token_1396_75,5,1396,75,token
0.1464,0.8874,0.247,0.8874,0.6647,token_1396_75,wb_token_1396_75,10,1396,75,token
0.4955,0.4955,0.4955,0.4955,0.4955,token_1575_75,wb_token_1575_75,1,1575,75,token
0.4144,0.6712,0.5,0.6712,0.5833,token_1575_75,wb_token_1575_75,2,1575,75,token
0.3273,0.7297,0.4396,0.7297,0.6029,token_1575_75,wb_token_1575_75,3,1575,75,token
0.236,0.8108,0.3563,0.8108,0.6211,token_1575_75,wb_token_1575_75,5,1575,75,token
0.1432,0.8874,0.2431,0.8874,0.6317,token_1575_75,wb_token_1575_75,10,1575,75,token
0.5495,0.5495,0.5495,0.5495,0.5495,token_1753_75,wb_token_1753_75,1,1753,75,token
0.4279,0.7207,0.5255,0.7207,0.6351,token_1753_75,wb_token_1753_75,2,1753,75,token
0.3273,0.7568,0.4455,0.7568,0.6471,token_1753_75,wb_token_1753_75,3,1753,75,token
0.2324,0.8288,0.3551,0.8288,0.6634,token_1753_75,wb_token_1753_75,5,1753,75,token
0.1351,0.8784,0.231,0.8784,0.6697,token_1753_75,wb_token_1753_75,10,1753,75,token
0.509,0.509,0.509,0.509,0.509,token_1931_75,wb_token_1931_75,1,1931,75,token
0.3581,0.6396,0.452,0.6396,0.5743,token_1931_75,wb_token_1931_75,2,1931,75,token
0.2898,0.6892,0.3986,0.6892,0.5908,token_1931_75,wb_token_1931_75,3,1931,75,token
0.2189,0.7883,0.3357,0.7883,0.6136,token_1931_75,wb_token_1931_75,5,1931,75,token
0.1293,0.8694,0.2222,0.8694,0.6248,token_1931_75,wb_token_1931_75,10,1931,75,token
0.5586,0.5586,0.5586,0.5586,0.5586,token_2109_75,wb_token_2109_75,1,2109,75,token
0.4234,0.7162,0.521,0.7162,0.6374,token_2109_75,wb_token_2109_75,2,2109,75,token
0.3333,0.7703,0.4541,0.7703,0.6554,token_2109_75,wb_token_2109_75,3,2109,75,token
0.2333,0.8423,0.358,0.8423,0.6725,token_2109_75,wb_token_2109_75,5,2109,75,token
0.1365,0.9324,0.235,0.9324,0.6844,token_2109_75,wb_token_2109_75,10,2109,75,token
0.509,0.509,0.509,0.509,0.509,token_2287_75,wb_token_2287_75,1,2287,75,token
0.3716,0.6306,0.458,0.6306,0.5698,token_2287_75,wb_token_2287_75,2,2287,75,token
0.2928,0.6847,0.4005,0.6847,0.5878,token_2287_75,wb_token_2287_75,3,2287,75,token
0.218,0.8018,0.3359,0.8018,0.6151,token_2287_75,wb_token_2287_75,5,2287,75,token
0.1315,0.9189,0.2271,0.9189,0.6311,token_2287_75,wb_token_2287_75,10,2287,75,token
0.5045,0.5045,0.5045,0.5045,0.5045,token_2465_75,wb_token_2465_75,1,2465,75,token
0.4009,0.6847,0.4955,0.6847,0.5946,token_2465_75,wb_token_2465_75,2,2465,75,token
0.3213,0.7658,0.4423,0.7658,0.6216,token_2465_75,wb_token_2465_75,3,2465,75,token
0.2243,0.8514,0.3481,0.8514,0.6405,token_2465_75,wb_token_2465_75,5,2465,75,token
0.1311,0.9099,0.2262,0.9099,0.6487,token_2465_75,wb_token_2465_75,10,2465,75,token
0.5315,0.5315,0.5315,0.5315,0.5315,token_2643_75,wb_token_2643_75,1,2643,75,token
0.3806,0.6577,0.473,0.6577,0.5946,token_2643_75,wb_token_2643_75,2,2643,75,token
0.3018,0.7477,0.4212,0.7477,0.6246,token_2643_75,wb_token_2643_75,3,2643,75,token
0.2081,0.8108,0.3249,0.8108,0.639,token_2643_75,wb_token_2643_75,5,2643,75,token
0.1266,0.9144,0.2195,0.9144,0.6533,token_2643_75,wb_token_2643_75,10,2643,75,token
0.509,0.509,0.509,0.509,0.509,token_2821_75,wb_token_2821_75,1,2821,75,token
0.3784,0.6532,0.47,0.6532,0.5811,token_2821_75,wb_token_2821_75,2,2821,75,token
0.2928,0.7117,0.4059,0.7117,0.6006,token_2821_75,wb_token_2821_75,3,2821,75,token
0.2081,0.8018,0.3241,0.8018,0.6213,token_2821_75,wb_token_2821_75,5,2821,75,token
0.1216,0.8874,0.2111,0.8874,0.6328,token_2821_75,wb_token_2821_75,10,2821,75,token
0.536,0.536,0.536,0.536,0.536,token_3000_75,wb_token_3000_75,1,3000,75,token
0.3784,0.6802,0.479,0.6802,0.6081,token_3000_75,wb_token_3000_75,2,3000,75,token
0.2928,0.7568,0.4149,0.7568,0.6336,token_3000_75,wb_token_3000_75,3,3000,75,token
0.2072,0.8423,0.3269,0.8423,0.6535,token_3000_75,wb_token_3000_75,5,3000,75,token
0.1248,0.9369,0.2174,0.9369,0.6661,token_3000_75,wb_token_3000_75,10,3000,75,token
