precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6622,0.6622,0.6622,0.6622,0.6622,hier_large,wb_hier_large,1,500,200,hierarchical
0.6104,0.7703,0.6637,0.7703,0.7162,hier_large,wb_hier_large,2,500,200,hierarchical
0.5736,0.8333,0.65,0.8333,0.7372,hier_large,wb_hier_large,3,500,200,hierarchical
0.4775,0.8874,0.5892,0.8874,0.7496,hier_large,wb_hier_large,5,500,200,hierarchical
0.345,0.9279,0.4776,0.9279,0.7554,hier_large,wb_hier_large,10,500,200,hierarchical
0.7162,0.7162,0.7162,0.7162,0.7162,hier_medium,wb_hier_medium,1,500,200,hierarchical
0.6667,0.8333,0.7222,0.8333,0.7748,hier_medium,wb_hier_medium,2,500,200,hierarchical
0.6411,0.8964,0.7194,0.8964,0.7958,hier_medium,wb_hier_medium,3,500,200,hierarchical
0.5459,0.9324,0.6557,0.9324,0.8044,hier_medium,wb_hier_medium,5,500,200,hierarchical
0.4036,0.955,0.5379,0.955,0.8076,hier_medium,wb_hier_medium,10,500,200,hierarchical
0.7658,0.7658,0.7658,0.7658,0.7658,hier_small,wb_hier_small,1,500,200,hierarchical
0.723,0.8784,0.7748,0.8784,0.8221,hier_small,wb_hier_small,2,500,200,hierarchical
0.6682,0.9144,0.7464,0.9144,0.8341,hier_small,wb_hier_small,3,500,200,hierarchical
0.5712,0.9414,0.6811,0.9414,0.8406,hier_small,wb_hier_small,5,500,200,hierarchical
0.4396,0.955,0.5737,0.955,0.8425,hier_small,wb_hier_small,10,500,200,hierarchical
0.7387,0.7387,0.7387,0.7387,0.7387,hier_base,wb_hier_base,1,500,200,hierarchical
0.6757,0.8468,0.7327,0.8468,0.7928,hier_base,wb_hier_base,2,500,200,hierarchical
0.6201,0.9054,0.705,0.9054,0.8123,hier_base,wb_hier_base,3,500,200,hierarchical
0.5378,0.955,0.6544,0.955,0.8233,hier_base,wb_hier_base,5,500,200,hierarchical
0.4081,0.982,0.5435,0.982,0.8266,hier_base,wb_hier_base,10,500,200,hierarchical
