precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.7117,0.7117,0.7117,0.7117,0.7117,hier_medium,wb_hier_medium,1,500,200,hierarchical
0.6667,0.8333,0.7222,0.8333,0.7725,hier_medium,wb_hier_medium,2,500,200,hierarchical
0.6411,0.8964,0.7194,0.8964,0.7935,hier_medium,wb_hier_medium,3,500,200,hierarchical
0.545,0.9324,0.6546,0.9324,0.8021,hier_medium,wb_hier_medium,5,500,200,hierarchical
0.4041,0.955,0.5384,0.955,0.8054,hier_medium,wb_hier_medium,10,500,200,hierarchical
0.7658,0.7658,0.7658,0.7658,0.7658,hier_small,wb_hier_small,1,500,200,hierarchical
0.723,0.8784,0.7748,0.8784,0.8221,hier_small,wb_hier_small,2,500,200,hierarchical
0.6682,0.9144,0.7464,0.9144,0.8341,hier_small,wb_hier_small,3,500,200,hierarchical
0.5712,0.9414,0.6811,0.9414,0.8404,hier_small,wb_hier_small,5,500,200,hierarchical
0.4392,0.955,0.573,0.955,0.8423,hier_small,wb_hier_small,10,500,200,hierarchical
0.7162,0.7162,0.7162,0.7162,0.7162,hier_very_small,wb_hier_very_small,1,500,200,hierarchical
0.7027,0.8378,0.7478,0.8378,0.777,hier_very_small,wb_hier_very_small,2,500,200,hierarchical
0.6622,0.8829,0.7311,0.8829,0.792,hier_very_small,wb_hier_very_small,3,500,200,hierarchical
0.5622,0.9189,0.6682,0.9189,0.8004,hier_very_small,wb_hier_very_small,5,500,200,hierarchical
0.441,0.9414,0.5712,0.9414,0.8036,hier_very_small,wb_hier_very_small,10,500,200,hierarchical
0.7252,0.7252,0.7252,0.7252,0.7252,hier_not_very_small,wb_hier_not_very_small,1,500,200,hierarchical
0.6667,0.8063,0.7132,0.8063,0.7658,hier_not_very_small,wb_hier_not_very_small,2,500,200,hierarchical
0.6246,0.8514,0.6941,0.8514,0.7808,hier_not_very_small,wb_hier_not_very_small,3,500,200,hierarchical
0.5622,0.9234,0.6634,0.9234,0.7974,hier_not_very_small,wb_hier_not_very_small,5,500,200,hierarchical
0.423,0.955,0.552,0.955,0.802,hier_not_very_small,wb_hier_not_very_small,10,500,200,hierarchical
