precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6306,0.6306,0.6306,0.6306,0.6306,token_506_50,wb_token_506_50,1,506,50,token
0.5203,0.7477,0.5961,0.7477,0.6892,token_506_50,wb_token_506_50,2,506,50,token
0.4459,0.8063,0.5523,0.8063,0.7087,token_506_50,wb_token_506_50,3,506,50,token
0.3414,0.8604,0.4687,0.8604,0.7211,token_506_50,wb_token_506_50,5,506,50,token
0.2099,0.9054,0.3296,0.9054,0.727,token_506_50,wb_token_506_50,10,506,50,token
0.6712,0.6712,0.6712,0.6712,0.6712,token_506_75,wb_token_506_75,1,506,75,token
0.5608,0.7973,0.6397,0.7973,0.7342,token_506_75,wb_token_506_75,2,506,75,token
0.464,0.8604,0.5788,0.8604,0.7553,token_506_75,wb_token_506_75,3,506,75,token
0.3486,0.9189,0.482,0.9189,0.7688,token_506_75,wb_token_506_75,5,506,75,token
0.2239,0.9414,0.3484,0.9414,0.7722,token_506_75,wb_token_506_75,10,506,75,token
0.6757,0.6757,0.6757,0.6757,0.6757,token_506_100,wb_token_506_100,1,506,100,token
0.5383,0.7883,0.6216,0.7883,0.732,token_506_100,wb_token_506_100,2,506,100,token
0.461,0.8514,0.573,0.8514,0.753,token_506_100,wb_token_506_100,3,506,100,token
0.3595,0.9009,0.4903,0.9009,0.7647,token_506_100,wb_token_506_100,5,506,100,token
0.2365,0.9505,0.3646,0.9505,0.7718,token_506_100,wb_token_506_100,10,506,100,token
0.6261,0.6261,0.6261,0.6261,0.6261,token_506_125,wb_token_506_125,1,506,125,token
0.5248,0.7387,0.5961,0.7387,0.6824,token_506_125,wb_token_506_125,2,506,125,token
0.4565,0.8108,0.5595,0.8108,0.7065,token_506_125,wb_token_506_125,3,506,125,token
0.3505,0.8604,0.4754,0.8604,0.7182,token_506_125,wb_token_506_125,5,506,125,token
0.2392,0.9279,0.3659,0.9279,0.7274,token_506_125,wb_token_506_125,10,506,125,token
0.6532,0.6532,0.6532,0.6532,0.6532,token_506_150,wb_token_506_150,1,506,150,token
