precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type,retrieval_mode,rerank
0.6306,0.6306,0.6306,0.6306,0.6306,token_506_50,wb_token_506_50,1,506,50,token,dense,False
0.5203,0.7477,0.5961,0.7477,0.6892,token_506_50,wb_token_506_50,2,506,50,token,dense,False
0.4459,0.8063,0.5523,0.8063,0.7087,token_506_50,wb_token_506_50,3,506,50,token,dense,False
0.3405,0.8559,0.4672,0.8559,0.7202,token_506_50,wb_token_506_50,5,506,50,token,dense,False
0.2099,0.9054,0.3296,0.9054,0.7268,token_506_50,wb_token_506_50,10,506,50,token,dense,False
0.6667,0.6667,0.6667,0.6667,0.6667,token_506_75,wb_token_506_75,1,506,75,token,dense,False
0.5586,0.7928,0.6367,0.7928,0.7297,token_506_75,wb_token_506_75,2,506,75,token,dense,False
0.4655,0.8604,0.5797,0.8604,0.7523,token_506_75,wb_token_506_75,3,506,75,token,dense,False
0.3495,0.9189,0.4826,0.9189,0.7658,token_506_75,wb_token_506_75,5,506,75,token,dense,False
0.2239,0.9459,0.3486,0.9459,0.7697,token_506_75,wb_token_506_75,10,506,75,token,dense,False
0.6757,0.6757,0.6757,0.6757,0.6757,token_506_100,wb_token_506_100,1,506,100,token,dense,False
0.5405,0.7928,0.6246,0.7928,0.7342,token_506_100,wb_token_506_100,2,506,100,token,dense,False
0.461,0.8514,0.573,0.8514,0.7538,token_506_100,wb_token_506_100,3,506,100,token,dense,False
0.3604,0.9009,0.4912,0.9009,0.7655,token_506_100,wb_token_506_100,5,506,100,token,dense,False
0.236,0.9505,0.3639,0.9505,0.7726,token_506_100,wb_token_506_100,10,506,100,token,dense,False
0.6261,0.6261,0.6261,0.6261,0.6261,token_506_125,wb_token_506_125,1,506,125,token,dense,False
0.5248,0.7387,0.5961,0.7387,0.6824,token_506_125,wb_token_506_125,2,506,125,token,dense,False
0.4565,0.8108,0.5595,0.8108,0.7065,token_506_125,wb_token_506_125,3,506,125,token,dense,False
0.3514,0.8649,0.4769,0.8649,0.7191,token_506_125,wb_token_506_125,5,506,125,token,dense,False
0.2392,0.9279,0.3659,0.9279,0.7277,token_506_125,wb_token_506_125,10,506,125,token,dense,False
0.6532,0.6532,0.6532,0.6532,0.6532,token_506_150,wb_token_506_150,1,506,150,token,dense,False
0.5631,0.7883,0.6382,0.7883,0.7207,token_506_150,wb_token_506_150,2,506,150,token,dense,False
0.4835,0.8288,0.586,0.8288,0.7342,token_506_150,wb_token_506_150,3,506,150,token,dense,False
0.3775,0.8874,0.5035,0.8874,0.7477,token_506_150,wb_token_506_150,5,506,150,token,dense,False
0.2545,0.9324,0.3825,0.9324,0.7533,token_506_150,wb_token_506_150,10,506,150,token,dense,False
0.6892,0.6892,0.6892,0.6892,0.6892,token_506_175,wb_token_506_175,1,506,175,token,dense,False
0.6014,0.8198,0.6742,0.8198,0.7545,token_506_175,wb_token_506_175,2,506,175,token,dense,False
0.5315,0.8829,0.6369,0.8829,0.7755,token_506_175,wb_token_506_175,3,506,175,token,dense,False
0.4126,0.9099,0.5401,0.9099,0.7816,token_506_175,wb_token_506_175,5,506,175,token,dense,False
0.2712,0.9414,0.4036,0.9414,0.7854,token_506_175,wb_token_506_175,10,506,175,token,dense,False
0.6486,0.6486,0.6486,0.6486,0.6486,token_506_200,wb_token_506_200,1,506,200,token,dense,False
0.5811,0.7793,0.6472,0.7793,0.714,token_506_200,wb_token_506_200,2,506,200,token,dense,False
0.503,0.8333,0.6041,0.8333,0.732,token_506_200,wb_token_506_200,3,506,200,token,dense,False
0.4027,0.8694,0.5241,0.8694,0.7405,token_506_200,wb_token_506_200,5,506,200,token,dense,False
0.2901,0.9505,0.4244,0.9505,0.7522,token_506_200,wb_token_506_200,10,506,200,token,dense,False
0.6486,0.6486,0.6486,0.6486,0.6486,token_506_225,wb_token_506_225,1,506,225,token,dense,False
0.6014,0.7928,0.6652,0.7928,0.7207,token_506_225,wb_token_506_225,2,506,225,token,dense,False
0.5285,0.8153,0.6162,0.8153,0.7282,token_506_225,wb_token_506_225,3,506,225,token,dense,False
0.427,0.8514,0.542,0.8514,0.7363,token_506_225,wb_token_506_225,5,506,225,token,dense,False
0.3014,0.9324,0.4355,0.9324,0.7472,token_506_225,wb_token_506_225,10,506,225,token,dense,False
0.6712,0.6712,0.6712,0.6712,0.6712,token_506_250,wb_token_506_250,1,506,250,token,dense,False
0.6216,0.7793,0.6742,0.7793,0.7252,token_506_250,wb_token_506_250,2,506,250,token,dense,False
0.5496,0.8198,0.6338,0.8198,0.7387,token_506_250,wb_token_506_250,3,506,250,token,dense,False
0.4495,0.8829,0.5662,0.8829,0.7538,token_506_250,wb_token_506_250,5,506,250,token,dense,False
0.3113,0.9505,0.4489,0.9505,0.7634,token_506_250,wb_token_506_250,10,506,250,token,dense,False
0.7117,0.7117,0.7117,0.7117,0.7117,token_506_300,wb_token_506_300,1,506,300,token,dense,False
0.6396,0.8018,0.6937,0.8018,0.7568,token_506_300,wb_token_506_300,2,506,300,token,dense,False
0.5691,0.8333,0.6491,0.8333,0.7673,token_506_300,wb_token_506_300,3,506,300,token,dense,False
0.4829,0.8739,0.5921,0.8739,0.776,token_506_300,wb_token_506_300,5,506,300,token,dense,False
0.3581,0.9414,0.4945,0.9414,0.7854,token_506_300,wb_token_506_300,10,506,300,token,dense,False
0.7117,0.7117,0.7117,0.7117,0.7117,token_506_350,wb_token_506_350,1,506,350,token,dense,False
0.6599,0.8153,0.7117,0.8153,0.7635,token_506_350,wb_token_506_350,2,506,350,token,dense,False
0.6261,0.8559,0.6964,0.8559,0.777,token_506_350,wb_token_506_350,3,506,350,token,dense,False
0.5514,0.9099,0.6534,0.9099,0.7892,token_506_350,wb_token_506_350,5,506,350,token,dense,False
0.4041,0.9595,0.5371,0.9595,0.7958,token_506_350,wb_token_506_350,10,506,350,token,dense,False
0.7387,0.7387,0.7387,0.7387,0.7387,token_506_400,wb_token_506_400,1,506,400,token,dense,False
0.6734,0.8018,0.7162,0.8018,0.7703,token_506_400,wb_token_506_400,2,506,400,token,dense,False
0.6532,0.8378,0.7086,0.8378,0.7823,token_506_400,wb_token_506_400,3,506,400,token,dense,False
0.6,0.8874,0.6808,0.8874,0.7935,token_506_400,wb_token_506_400,5,506,400,token,dense,False
0.4883,0.9324,0.6062,0.9324,0.7994,token_506_400,wb_token_506_400,10,506,400,token,dense,False
