precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type,retrieval_mode,rerank
0.6862,0.9189,0.7572,0.9189,0.8153,dense_only,wb_dense_only,3,500,200,hierarchical,dense,False
0.5829,0.9369,0.6914,0.9369,0.8191,dense_only,wb_dense_only,5,500,200,hierarchical,dense,False
0.4401,0.964,0.5747,0.964,0.8228,dense_only,wb_dense_only,10,500,200,hierarchical,dense,False
0.6066,0.7703,0.6595,0.7703,0.6997,sparse_only,wb_sparse_only,3,500,200,hierarchical,sparse,False
0.5045,0.8153,0.6013,0.8153,0.7103,sparse_only,wb_sparse_only,5,500,200,hierarchical,sparse,False
0.3743,0.8784,0.5037,0.8784,0.7192,sparse_only,wb_sparse_only,10,500,200,hierarchical,sparse,False
0.6967,0.9144,0.7667,0.9144,0.8371,hybrid_rrf,wb_hybrid_rrf,3,500,200,hierarchical,hybrid,False
0.5937,0.9505,0.7045,0.9505,0.8452,hybrid_rrf,wb_hybrid_rrf,5,500,200,hierarchical,hybrid,False
0.4505,0.973,0.5922,0.973,0.8477,hybrid_rrf,wb_hybrid_rrf,10,500,200,hierarchical,hybrid,False
0.7658,0.9595,0.827,0.9595,0.9024,hybrid_rerank_90d_10s,wb_hybrid_rerank_90d_10s,3,500,200,hierarchical,hybrid,True
0.6486,0.9685,0.75,0.9685,0.9047,hybrid_rerank_90d_10s,wb_hybrid_rerank_90d_10s,5,500,200,hierarchical,hybrid,True
0.4721,0.9775,0.6078,0.9775,0.9062,hybrid_rerank_90d_10s,wb_hybrid_rerank_90d_10s,10,500,200,hierarchical,hybrid,True
0.7643,0.9595,0.8252,0.9595,0.8949,hybrid_rerank_75d_25s,wb_hybrid_rerank_75d_25s,3,500,200,hierarchical,hybrid,True
0.6541,0.9685,0.7544,0.9685,0.8969,hybrid_rerank_75d_25s,wb_hybrid_rerank_75d_25s,5,500,200,hierarchical,hybrid,True
0.468,0.9775,0.6041,0.9775,0.8983,hybrid_rerank_75d_25s,wb_hybrid_rerank_75d_25s,10,500,200,hierarchical,hybrid,True
0.7643,0.955,0.8248,0.955,0.9047,hybrid_rerank_70d_30s,wb_hybrid_rerank_70d_30s,3,500,200,hierarchical,hybrid,True
0.6586,0.973,0.7581,0.973,0.9092,hybrid_rerank_70d_30s,wb_hybrid_rerank_70d_30s,5,500,200,hierarchical,hybrid,True
0.4721,0.982,0.6087,0.982,0.9106,hybrid_rerank_70d_30s,wb_hybrid_rerank_70d_30s,10,500,200,hierarchical,hybrid,True
0.7823,0.9505,0.8369,0.9505,0.9092,hybrid_rerank_60d_40s,wb_hybrid_rerank_60d_40s,3,500,200,hierarchical,hybrid,True
0.6712,0.9685,0.7684,0.9685,0.9137,hybrid_rerank_60d_40s,wb_hybrid_rerank_60d_40s,5,500,200,hierarchical,hybrid,True
0.4829,0.9775,0.6208,0.9775,0.9149,hybrid_rerank_60d_40s,wb_hybrid_rerank_60d_40s,10,500,200,hierarchical,hybrid,True
0.7778,0.955,0.8347,0.955,0.9009,hybrid_rerank_50d_50s,wb_hybrid_rerank_50d_50s,3,500,200,hierarchical,hybrid,True
0.682,0.973,0.7771,0.973,0.905,hybrid_rerank_50d_50s,wb_hybrid_rerank_50d_50s,5,500,200,hierarchical,hybrid,True
0.4905,0.973,0.6273,0.973,0.905,hybrid_rerank_50d_50s,wb_hybrid_rerank_50d_50s,10,500,200,hierarchical,hybrid,True
0.7778,0.9459,0.8297,0.9459,0.8836,hybrid_rerank_30d_70s,wb_hybrid_rerank_30d_70s,3,500,200,hierarchical,hybrid,True
0.6405,0.9505,0.739,0.9505,0.8848,hybrid_rerank_30d_70s,wb_hybrid_rerank_30d_70s,5,500,200,hierarchical,hybrid,True
0.4369,0.9505,0.5768,0.9505,0.8848,hybrid_rerank_30d_70s,wb_hybrid_rerank_30d_70s,10,500,200,hierarchical,hybrid,True
0.7462,0.9234,0.8,0.9234,0.8724,hybrid_rerank_10d_90s,wb_hybrid_rerank_10d_90s,3,500,200,hierarchical,hybrid,True
0.627,0.9369,0.7233,0.9369,0.8755,hybrid_rerank_10d_90s,wb_hybrid_rerank_10d_90s,5,500,200,hierarchical,hybrid,True
0.4275,0.9369,0.565,0.9369,0.8755,hybrid_rerank_10d_90s,wb_hybrid_rerank_10d_90s,10,500,200,hierarchical,hybrid,True
