precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type
0.6892,0.6892,0.6892,0.6892,0.6892,token_506_175,wb_token_506_175,1,506,175,token
0.6014,0.8198,0.6742,0.8198,0.7545,token_506_175,wb_token_506_175,2,506,175,token
0.53,0.8829,0.636,0.8829,0.7755,token_506_175,wb_token_506_175,3,506,175,token
0.4135,0.9099,0.5407,0.9099,0.7816,token_506_175,wb_token_506_175,5,506,175,token
0.2712,0.9414,0.4036,0.9414,0.7854,token_506_175,wb_token_506_175,10,506,175,token
0.6622,0.6622,0.6622,0.6622,0.6622,sentence_506_175,wb_sentence_506_175,1,506,175,sentence
0.5676,0.8198,0.6517,0.8198,0.741,sentence_506_175,wb_sentence_506_175,2,506,175,sentence
0.4865,0.8829,0.6009,0.8829,0.762,sentence_506_175,wb_sentence_506_175,3,506,175,sentence
0.3685,0.9099,0.4976,0.9099,0.7681,sentence_506_175,wb_sentence_506_175,5,506,175,sentence
0.2378,0.9459,0.3671,0.9459,0.7727,sentence_506_175,wb_sentence_506_175,10,506,175,sentence
0.536,0.536,0.536,0.536,0.536,semantic_50,wb_semantic_50,1,500,200,semantic
0.3896,0.6802,0.4865,0.6802,0.6081,semantic_50,wb_semantic_50,2,500,200,semantic
0.3228,0.7613,0.4423,0.7613,0.6351,semantic_50,wb_semantic_50,3,500,200,semantic
0.2342,0.8333,0.3552,0.8333,0.6518,semantic_50,wb_semantic_50,5,500,200,semantic
0.1392,0.9054,0.2355,0.9054,0.6618,semantic_50,wb_semantic_50,10,500,200,semantic
0.7432,0.7432,0.7432,0.7432,0.7432,hierar,wb_hierar,1,500,200,hierarchical
0.6734,0.8468,0.7312,0.8468,0.795,hierar,wb_hierar,2,500,200,hierarchical
0.6201,0.9054,0.7054,0.9054,0.8146,hierar,wb_hierar,3,500,200,hierarchical
0.5378,0.955,0.6544,0.955,0.8256,hierar,wb_hierar,5,500,200,hierarchical
0.4077,0.982,0.5433,0.982,0.829,hierar,wb_hierar,10,500,200,hierarchical
