precision@k,recall@k,f1@k,hit_rate@k,mrr@k,collection,k
0.5721,0.5721,0.5721,0.5721,0.5721,wb_token_spl_1753_75,1
0.4189,0.7027,0.5135,0.7027,0.6351,wb_token_spl_1753_75,2
0.3318,0.7568,0.45,0.7568,0.6532,wb_token_spl_1753_75,3
0.2759,0.7928,0.3997,0.7928,0.6622,wb_token_spl_1753_75,4
0.2378,0.8378,0.3624,0.8378,0.6712,wb_token_spl_1753_75,5
0.1378,0.9189,0.2364,0.9189,0.6812,wb_token_spl_1753_75,10
0.6261,0.6261,0.6261,0.6261,0.6261,wb_token_spl_328_75,1
0.5563,0.7838,0.6321,0.7838,0.705,wb_token_spl_328_75,2
0.4895,0.8288,0.591,0.8288,0.72,wb_token_spl_328_75,3
0.4561,0.8694,0.5718,0.8694,0.7301,wb_token_spl_328_75,4
0.4126,0.8919,0.5384,0.8919,0.7346,wb_token_spl_328_75,5
0.2838,0.9459,0.4157,0.9459,0.7425,wb_token_spl_328_75,10
0.5225,0.5225,0.5225,0.5225,0.5225,wb_token_spl_2287_75,1
0.3986,0.6532,0.4835,0.6532,0.5878,wb_token_spl_2287_75,2
0.3093,0.7072,0.4198,0.7072,0.6059,wb_token_spl_2287_75,3
0.2669,0.7883,0.3898,0.7883,0.6261,wb_token_spl_2287_75,4
0.2252,0.8243,0.3466,0.8243,0.6333,wb_token_spl_2287_75,5
0.1324,0.9234,0.2286,0.9234,0.6466,wb_token_spl_2287_75,10
0.5135,0.5135,0.5135,0.5135,0.5135,wb_token_spl_1575_75,1
0.4369,0.7027,0.5255,0.7027,0.6059,wb_token_spl_1575_75,2
0.3378,0.7523,0.4536,0.7523,0.6246,wb_token_spl_1575_75,3
0.2827,0.8018,0.4067,0.8018,0.637,wb_token_spl_1575_75,4
0.2423,0.8198,0.3647,0.8198,0.6406,wb_token_spl_1575_75,5
0.1459,0.9099,0.2477,0.9099,0.6529,wb_token_spl_1575_75,10
0.5135,0.5135,0.5135,0.5135,0.5135,wb_token_spl_2465_75,1
0.3896,0.6757,0.485,0.6757,0.5946,wb_token_spl_2465_75,2
0.3138,0.7432,0.4311,0.7432,0.6179,wb_token_spl_2465_75,3
0.2613,0.8063,0.3862,0.8063,0.6336,wb_token_spl_2465_75,4
0.2252,0.8468,0.3488,0.8468,0.6417,wb_token_spl_2465_75,5
0.1311,0.9099,0.2262,0.9099,0.6505,wb_token_spl_2465_75,10
0.527,0.527,0.527,0.527,0.527,wb_token_spl_2821_75,1
0.3694,0.6486,0.4625,0.6486,0.5878,wb_token_spl_2821_75,2
0.2913,0.7162,0.4054,0.7162,0.6104,wb_token_spl_2821_75,3
0.2376,0.7523,0.3538,0.7523,0.619,wb_token_spl_2821_75,4
0.2054,0.7928,0.32,0.7928,0.6277,wb_token_spl_2821_75,5
0.123,0.9054,0.2137,0.9054,0.6422,wb_token_spl_2821_75,10
0.6081,0.6081,0.6081,0.6081,0.6081,wb_token_spl_862_75,1
0.4865,0.7703,0.5811,0.7703,0.6892,wb_token_spl_862_75,2
0.3994,0.8108,0.5171,0.8108,0.7027,wb_token_spl_862_75,3
0.3356,0.8468,0.4634,0.8468,0.7117,wb_token_spl_862_75,4
0.3054,0.8829,0.437,0.8829,0.7189,wb_token_spl_862_75,5
0.1851,0.955,0.3024,0.955,0.729,wb_token_spl_862_75,10
0.6441,0.6441,0.6441,0.6441,0.6441,wb_token_spl_684_75,1
0.527,0.7793,0.6111,0.7793,0.7117,wb_token_spl_684_75,2
0.4369,0.8198,0.5482,0.8198,0.723,wb_token_spl_684_75,3
0.3761,0.8559,0.5016,0.8559,0.732,wb_token_spl_684_75,4
0.3342,0.8739,0.4652,0.8739,0.7356,wb_token_spl_684_75,5
0.2068,0.9505,0.3302,0.9505,0.7458,wb_token_spl_684_75,10
0.509,0.509,0.509,0.509,0.509,wb_token_spl_1931_75,1
0.3559,0.6351,0.449,0.6351,0.5721,wb_token_spl_1931_75,2
0.2928,0.6982,0.4032,0.6982,0.5938,wb_token_spl_1931_75,3
0.2568,0.7703,0.3766,0.7703,0.6119,wb_token_spl_1931_75,4
0.2243,0.8063,0.3438,0.8063,0.6191,wb_token_spl_1931_75,5
0.1347,0.8964,0.2312,0.8964,0.6313,wb_token_spl_1931_75,10
0.536,0.536,0.536,0.536,0.536,wb_token_spl_3000_75,1
0.3806,0.6802,0.4805,0.6802,0.6081,wb_token_spl_3000_75,2
0.2928,0.7613,0.4158,0.7613,0.6351,wb_token_spl_3000_75,3
0.2331,0.7838,0.3532,0.7838,0.6408,wb_token_spl_3000_75,4
0.2018,0.8198,0.3183,0.8198,0.648,wb_token_spl_3000_75,5
0.1216,0.9279,0.2124,0.9279,0.6632,wb_token_spl_3000_75,10
0.5541,0.5541,0.5541,0.5541,0.5541,wb_token_spl_2109_75,1
0.4189,0.7117,0.5165,0.7117,0.6329,wb_token_spl_2109_75,2
0.3423,0.7838,0.4649,0.7838,0.6577,wb_token_spl_2109_75,3
0.2782,0.8198,0.406,0.8198,0.6655,wb_token_spl_2109_75,4
0.2324,0.8333,0.356,0.8333,0.6682,wb_token_spl_2109_75,5
0.1369,0.9369,0.2358,0.9369,0.6832,wb_token_spl_2109_75,10
0.5856,0.5856,0.5856,0.5856,0.5856,wb_token_spl_1218_75,1
0.4347,0.7207,0.53,0.7207,0.6532,wb_token_spl_1218_75,2
0.3543,0.7748,0.4707,0.7748,0.6712,wb_token_spl_1218_75,3
0.2962,0.8108,0.4206,0.8108,0.6802,wb_token_spl_1218_75,4
0.2577,0.8514,0.3832,0.8514,0.6883,wb_token_spl_1218_75,5
0.1568,0.9099,0.2621,0.9099,0.6969,wb_token_spl_1218_75,10
0.6757,0.6757,0.6757,0.6757,0.6757,wb_token_spl_506_75,1
0.5563,0.8063,0.6397,0.8063,0.741,wb_token_spl_506_75,2
0.464,0.8694,0.5802,0.8694,0.762,wb_token_spl_506_75,3
0.402,0.9099,0.532,0.9099,0.7721,wb_token_spl_506_75,4
0.3613,0.9234,0.494,0.9234,0.7748,wb_token_spl_506_75,5
0.2374,0.9505,0.3668,0.9505,0.7787,wb_token_spl_506_75,10
0.6847,0.6847,0.6847,0.6847,0.6847,wb_token_spl_150_75,1
0.6351,0.8108,0.6937,0.8108,0.7477,wb_token_spl_150_75,2
0.6021,0.9009,0.6914,0.9009,0.7778,wb_token_spl_150_75,3
0.5676,0.9234,0.6717,0.9234,0.7834,wb_token_spl_150_75,4
0.5315,0.9414,0.6474,0.9414,0.787,wb_token_spl_150_75,5
0.3941,0.955,0.5268,0.955,0.7892,wb_token_spl_150_75,10
0.536,0.536,0.536,0.536,0.536,wb_token_spl_2643_75,1
0.3829,0.6667,0.4775,0.6667,0.6014,wb_token_spl_2643_75,2
0.2958,0.7387,0.414,0.7387,0.6254,wb_token_spl_2643_75,3
0.2466,0.7838,0.3676,0.7838,0.6366,wb_token_spl_2643_75,4
0.2081,0.8153,0.3254,0.8153,0.6429,wb_token_spl_2643_75,5
0.1248,0.9144,0.2167,0.9144,0.6574,wb_token_spl_2643_75,10
0.5405,0.5405,0.5405,0.5405,0.5405,wb_token_spl_1396_75,1
0.4122,0.6937,0.506,0.6937,0.6171,wb_token_spl_1396_75,2
0.3288,0.7523,0.4459,0.7523,0.6366,wb_token_spl_1396_75,3
0.2782,0.7883,0.3998,0.7883,0.6456,wb_token_spl_1396_75,4
0.2432,0.8243,0.3659,0.8243,0.6529,wb_token_spl_1396_75,5
0.1514,0.9144,0.2555,0.9144,0.6657,wb_token_spl_1396_75,10
0.6126,0.6126,0.6126,0.6126,0.6126,wb_token_spl_1040_75,1
0.4797,0.7613,0.5736,0.7613,0.6869,wb_token_spl_1040_75,2
0.3829,0.8243,0.5068,0.8243,0.7057,wb_token_spl_1040_75,3
0.3187,0.8694,0.4531,0.8694,0.7192,wb_token_spl_1040_75,4
0.2712,0.8694,0.401,0.8694,0.7192,wb_token_spl_1040_75,5
